year,income_bn,expense_bn,population_mln,expense_per_capita_rub,deficit_bn
2005,16.7533,15.3572,1.1523,13327.432092337065,-1.3960999999999988
2010,64.8328,65.7202,1.2751,51541.21245392519,0.8873999999999995
2015,73.6822,74.4195,1.3947,53358.78683587868,0.7373000000000047
2019,97.6349,97.8463,1.4777,66215.26696893822,0.2113999999999976
2020,127.1026,128.2394,1.4966,85687.15755712948,1.1367999999999938
2021,138.1404,140.213,1.5146,92574.2770368414,2.0725999999999942
2022,149.8929,155.9343,1.5332,101705.12653274198,6.04140000000001
2023,155.0262,166.1135,1.5529,106969.8628372722,11.087299999999999
2024,158.7596,160.7986,1.5766,101990.73956615501,2.0389999999999873
2026,148.6,155.4,1.575819,98615.38666560056,6.800000000000011
