year,region,expenses_rub,measure,source
2014,Москва,1740030534710,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2015,Москва,1682891525473,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2016,Москва,1909853149623,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2017,Москва,2294400455520,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2018,Москва,2556228261458,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2019,Москва,2962020585683,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2020,Москва,3310112120535,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2021,Москва,3768089073628,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2022,Москва,3929612086636,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2023,Москва,4773511569132,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2024,Москва,5626586808709,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2014,Московская область,563914765875,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2015,Московская область,611754097344,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2016,Московская область,622853029246,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2017,Московская область,706632348481,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2018,Московская область,804537261207,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2019,Московская область,932876831012,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2020,Московская область,1021101959846,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2021,Московская область,1038428856473,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2022,Московская область,1274289123581,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2023,Московская область,1384510099006,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2024,Московская область,1527541278416,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2014,Ставропольский край,119398641779,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2015,Ставропольский край,126746240991,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2016,Ставропольский край,127668618338,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2017,Ставропольский край,138841066487,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2018,Ставропольский край,150815897468,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2019,Ставропольский край,172222403801,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2020,Ставропольский край,197877509007,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2021,Ставропольский край,208465407968,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2022,Ставропольский край,236435202638,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2023,Ставропольский край,261317832827,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2024,Ставропольский край,294177213514,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2014,Орловская область,39941539042,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2015,Орловская область,41485489992,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2016,Орловская область,42745089431,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2017,Орловская область,44368042075,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2018,Орловская область,47809381162,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2019,Орловская область,50816680420,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2020,Орловская область,60357749444,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2021,Орловская область,62515599206,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2022,Орловская область,72164642062,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2023,Орловская область,79871412163,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2024,Орловская область,81166399632,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2014,Тульская область,89839388370,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2015,Тульская область,89037525611,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2016,Тульская область,93364343594,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2017,Тульская область,101417207293,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2018,Тульская область,105626491819,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2019,Тульская область,120244519199,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2020,Тульская область,134117097979,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2021,Тульская область,146204156633,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2022,Тульская область,167099666162,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2023,Тульская область,176762598008,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2024,Тульская область,207936488269,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2014,Чеченская Республика,80643959401,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2015,Чеченская Республика,85051952804,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2016,Чеченская Республика,82497845657,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2017,Чеченская Республика,89471113374,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2018,Чеченская Республика,95945871765,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2019,Чеченская Республика,114887575082,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2020,Чеченская Республика,147116808750,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2021,Чеченская Республика,159584350749,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2022,Чеченская Республика,177485712805,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2023,Чеченская Республика,191003097209,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
2024,Чеченская Республика,188811440408,исполненные расходы консолидированного бюджета с ТГВБФ,Казначейство России через Statbase
