region_key,region,year,expenses_bn_rub,status,measure,source
Moscow,Москва,2005,503.76,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow,Москва,2010,1107.594,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow,Москва,2015,1529.127,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow,Москва,2019,2694.799,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow,Москва,2020,3016.605,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow,Москва,2021,3458.709,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow,Москва,2022,3616.553,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow,Москва,2023,4418.017,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow,Москва,2024,5213.417,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow,Москва,2026,6385.0,план,расходы бюджета субъекта,сводка бюджетов регионов 2026; законы о региональных бюджетах
Moscow Oblast,Московская область,2005,140.923,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow Oblast,Московская область,2010,312.928,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow Oblast,Московская область,2015,532.239,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow Oblast,Московская область,2019,813.727,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow Oblast,Московская область,2020,893.302,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow Oblast,Московская область,2021,906.496,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow Oblast,Московская область,2022,1134.246,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow Oblast,Московская область,2023,1237.65,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow Oblast,Московская область,2024,1364.659,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Moscow Oblast,Московская область,2026,1384.7,план,расходы бюджета субъекта,сводка бюджетов регионов 2026; законы о региональных бюджетах
Stavropol Krai,Ставропольский край,2005,29.289,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Stavropol Krai,Ставропольский край,2010,72.444,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Stavropol Krai,Ставропольский край,2015,103.517,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Stavropol Krai,Ставропольский край,2019,138.735,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Stavropol Krai,Ставропольский край,2020,161.839,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Stavropol Krai,Ставропольский край,2021,171.309,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Stavropol Krai,Ставропольский край,2022,196.469,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Stavropol Krai,Ставропольский край,2023,216.233,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Stavropol Krai,Ставропольский край,2024,243.605,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Stavropol Krai,Ставропольский край,2026,221.6,план,расходы бюджета субъекта,сводка бюджетов регионов 2026; законы о региональных бюджетах
Oryol Oblast,Орловская область,2005,9.783,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Oryol Oblast,Орловская область,2010,22.976,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Oryol Oblast,Орловская область,2015,34.763,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Oryol Oblast,Орловская область,2019,41.478,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Oryol Oblast,Орловская область,2020,50.412,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Oryol Oblast,Орловская область,2021,52.224,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Oryol Oblast,Орловская область,2022,61.155,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Oryol Oblast,Орловская область,2023,67.927,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Oryol Oblast,Орловская область,2024,67.96,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Oryol Oblast,Орловская область,2026,61.0,план,расходы бюджета субъекта,сводка бюджетов регионов 2026; законы о региональных бюджетах
Tula Oblast,Тульская область,2005,20.496,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Tula Oblast,Тульская область,2010,51.694,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Tula Oblast,Тульская область,2015,76.212,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Tula Oblast,Тульская область,2019,102.234,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Tula Oblast,Тульская область,2020,114.954,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Tula Oblast,Тульская область,2021,126.68,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Tula Oblast,Тульская область,2022,146.104,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Tula Oblast,Тульская область,2023,153.495,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Tula Oblast,Тульская область,2024,182.251,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Tula Oblast,Тульская область,2026,169.6,план,расходы бюджета субъекта,сводка бюджетов регионов 2026; законы о региональных бюджетах
Chechnya,Чеченская Республика,2005,15.357,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Chechnya,Чеченская Республика,2010,65.72,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Chechnya,Чеченская Республика,2015,74.42,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Chechnya,Чеченская Республика,2019,97.846,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Chechnya,Чеченская Республика,2020,128.239,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Chechnya,Чеченская Республика,2021,140.213,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Chechnya,Чеченская Республика,2022,155.934,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Chechnya,Чеченская Республика,2023,166.113,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Chechnya,Чеченская Республика,2024,160.799,факт,расходы консолидированного бюджета субъекта,"Росстат: Регионы России, 2023/2025"
Chechnya,Чеченская Республика,2026,155.4,план,расходы бюджета субъекта,сводка бюджетов регионов 2026; законы о региональных бюджетах
